show_id,type,title,director_id,date_added,release_year,rating,duration,description,year_added,month_added
s8684,movie,vodka diaries,4464,2019-12-31,2018,tv-14,113 min,"while investigating a series of murders and the nightclub that links them, a detective’s case takes an alarming turn when his wife goes missing.",2019,12
s8685,tv show,vroomiz,2,2017-08-01,2016,tv-y,3 Seasons,"for these half-car, half-animal friends, each day in zippy city is a chance to have fun, be creative and use teamwork to solve difficult problems.",2017,8
s8686,movie,vs.,4465,2019-06-19,2018,tv-ma,99 min,"a young man in foster care finds his voice in the underground rap battle scene. but when his mother returns, a lifetime of pain comes with her.",2019,6
s8687,movie,waar,4466,2017-07-01,2013,tv-ma,130 min,"when pakistani authorities learn of a looming terrorist strike, they ask a retired intelligence officer to counter the attack before it's too late.",2017,7
s8688,movie,waarrior savitri,4467,2017-11-01,2016,tv-14,120 min,"in a modern adaptation of a mythological tale, a devoted wife is willing to do whatever it takes to rescue her husband from the clutches of death.",2017,11
s8689,movie,waiting,4468,2018-05-01,2015,tv-ma,94 min,"while visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma.",2018,5
s8690,movie,waiting...,4469,2020-09-23,2005,r,94 min,employees turn up the antics during an eight-hour shift at the restaurant shenaniganz when new opportunities call and boredom gets the best of them.,2020,9
s8691,tv show,wake up,2,2018-03-31,2017,tv-14,2 Seasons,"after taking the blame for a patient death, an anesthesiologist battling psychiatric trauma fights to stay afloat in the corrupt hospital system.",2018,3
s8692,movie,wakefield,4296,2019-03-02,2016,r,109 min,"an unhappy father and lawyer quits his suburban life and vanishes into the attic above his garage, where he watches his family move on without him.",2019,3
s8693,movie,walk with me,4470,2017-12-26,2017,tv-pg,94 min,a community of monks in france led by zen buddhist master thich nhat hanh offers an intimate glimpse into mindfulness practice and the monastic life.,2017,12
s8694,movie,walking out,4471,2019-10-01,2017,pg-13,96 min,"a suburban teen goes hunting with his estranged father. when a mishap with a bear occurs, he must his use his survival skills to save them both.",2019,10
s8695,movie,war,4472,2019-04-01,2007,r,103 min,"when his partner is killed and all clues point to a notorious assassin, fbi agent jack crawford sets out for revenge in this taut action-thriller.",2019,4
s8696,movie,war chhod na yaar,4473,2019-03-02,2013,tv-14,109 min,"set in an india-pakistan border post, this satirical but thought-provoking comedy about war deals with serious events in a humorous manner.",2019,3
